e_id;geo_name;loc;geonamesid;time;time_norm;actor
2032;Romania;[u'46 25'];798549;March;2009-03-01;Shepard Fairey
2033;Romania;[u'46 25'];798549;Thursday;2009-08-13;Robert Trujillo
2034;Romania;[u'46 25'];798549;March;2009-03-01;Reginald Arvizu
2035;Romania;[u'46 25'];798549;Thursday;2009-08-13;Rocky George
2036;Romania;[u'46 25'];798549;Thursday;2009-08-13;Mike Muir
2037;Romania;[u'46 25'];798549;Thursday;2009-08-13;Dave Lombardo
2038;Romania;[u'46 25'];798549;Thursday;2009-08-13;Alexi Laiho
2039;Romania;[u'46 25'];798549;Thursday;2009-08-13;Daron Malakian
2040;Romania;[u'46 25'];798549;Thursday;2009-08-13;Shavo Odadjian
2041;Romania;[u'46 25'];798549;Thursday;2009-08-13;John Dolmayan
2042;Romania;[u'46 25'];798549;Thursday;2009-08-13;Max Cavalera
2043;Romania;[u'46 25'];798549;Thursday;2009-08-13;Ben Kenney
2044;Romania;[u'46 25'];798549;Thursday;2009-08-13;Greg Puciato
2045;Romania;[u'46 25'];798549;Thursday;2009-08-13;Tommy Lee
2046;Romania;[u'46 25'];798549;Thursday;2009-08-13;Mike Shinoda
2047;Serbia;[u'43.95 20.933333333333'];6290252;Thursday;2009-08-13;Mark McGrath
2048;Avalon Hollywood;[u'34.1027 -118.327'];;Thursday;2009-08-13;Mark McGrath
2049;Macedonia;[u'41.65 21.716667'];718075;Thursday;2009-08-13;Mark McGrath
2050;Santa Clara;[u'37.35 -121.96666666667'];5393015;November 4, 2008;2008-11-04;Sergio Vega
2051;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Lê Huyền Tông
2052;Paris;[u'48.86 2.3444444444444'];2988507;1511;1511-01-01;Sima Guang
2053;Paris;[u'48.86 2.3444444444444'];2988507;1665;1665-01-01;Ngo Quyen
2054;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Sima Qian
2055;Paris;[u'48.86 2.3444444444444'];2988507;1665;1665-01-01;Tran Thu Do
